,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
78,78,1129.8777201999997,2024-12-10 22:17:00.397195,2024-12-10 22:21:05.752702,0 days 00:04:05.355507,tanh,128,0.3,5.4679571142466454e-05,0.98,0.99,4.5017629614835975e-05,5.0,20,1024,tiny,0.49462482442766,PRUNED
79,79,1548.6134798,2024-12-10 22:21:05.756120,2024-12-10 22:25:56.165259,0 days 00:04:50.409139,relu,64,0.2,4.051430480292803e-05,0.95,0.98,2.3122478925094742e-05,1.0,20,1024,medium,0.24147808281781227,PRUNED
80,80,539.4030456,2024-12-10 22:25:56.166144,2024-12-10 22:35:52.021462,0 days 00:09:55.855318,tanh,16,0.3,5.796365553090464e-06,0.8,0.999,0.0007336998314517657,5.0,20,1024,tiny,0.7923474082568058,PRUNED
81,81,2519.4650389999997,2024-12-10 22:27:21.415443,2024-12-10 22:34:07.679442,0 days 00:06:46.263999,tanh,32,0.3,1.6934587797887212e-08,0.99,0.995,4.8851931623171745e-05,0.9,20,512,small,0.8503691637471237,COMPLETE
82,82,448.0491188,2024-12-10 22:34:07.680700,2024-12-10 22:41:41.957398,0 days 00:07:34.276698,tanh,32,0.3,3.224817036588388e-08,0.99,0.995,0.0011796961040763357,0.9,20,512,small,0.8705290571433058,PRUNED
83,83,689.1176379999999,2024-12-10 22:35:52.022397,2024-12-10 22:41:34.409089,0 days 00:05:42.386692,tanh,64,0.3,4.633954418793892e-08,1.0,0.95,0.00017917356364999137,0.9,20,512,small,0.9246967877385593,PRUNED
84,84,2316.4504434,2024-12-10 22:41:34.409791,2024-12-10 22:47:47.451914,0 days 00:06:13.042123,tanh,32,0.3,2.107859414664456e-08,0.99,0.995,0.00016907217089184558,0.9,20,512,small,0.8588816666078867,COMPLETE
85,85,387.298854,2024-12-10 22:41:41.958042,2024-12-10 22:57:09.007979,0 days 00:15:27.049937,relu,8,0.3,6.238230828213027e-05,0.95,0.999,1.4302046170394788e-05,0.7,20,1024,medium,0.5737852179995927,PRUNED
86,86,381.09242,2024-12-10 22:47:47.452929,2024-12-10 22:56:54.413630,0 days 00:09:06.960701,relu,32,0.2,1.882041930216145e-06,0.95,0.999,9.718250596035725e-05,0.7,20,16,small,0.7918315211215399,PRUNED
87,87,2461.8462128,2024-12-10 22:56:54.414294,2024-12-10 23:06:29.072198,0 days 00:09:34.657904,tanh,16,0.3,9.622675948285543e-07,0.98,0.99,0.00014053293305162166,0.6,20,256,tiny,0.8234534595476738,COMPLETE
88,88,460.59718439999995,2024-12-10 22:57:09.008635,2024-12-10 23:03:40.371378,0 days 00:06:31.362743,relu,32,0.3,7.705421354936143e-07,0.8,0.995,1.4461629140157239e-05,0.9,20,32,medium,0.48448759971574445,PRUNED
89,89,2136.7765346,2024-12-10 23:03:40.372071,2024-12-10 23:16:49.964739,0 days 00:13:09.592668,tanh,8,0.2,3.224587385891875e-08,0.98,0.99,5.553884871183492e-05,0.5,20,128,tiny,0.4266581905908722,COMPLETE
90,90,1501.9103301999999,2024-12-10 23:06:29.073413,2024-12-10 23:21:44.296814,0 days 00:15:15.223401,tanh,8,0.3,1.4883004167993602e-08,0.99,0.995,1.6836108410185284e-05,0.6,20,16,small,0.9356500109414749,PRUNED
91,91,388.3268878,2024-12-10 23:16:49.969838,2024-12-10 23:25:08.129229,0 days 00:08:18.159391,tanh,16,0.3,3.0129494468321154e-07,0.99,0.99,0.004775089022653767,0.6,20,256,tiny,0.6940566561962603,PRUNED
92,92,703.0627545999998,2024-12-10 23:21:44.298336,2024-12-10 23:32:07.095948,0 days 00:10:22.797612,tanh,16,0.3,2.6344978585039165e-07,0.98,0.99,9.461928953301074e-05,0.6,20,256,tiny,0.8347882763770272,PRUNED
93,93,426.2184016,2024-12-10 23:25:08.130095,2024-12-10 23:28:53.334884,0 days 00:03:45.204789,tanh,256,0.3,4.49824866156819e-08,0.95,0.995,1.0445544310492667e-05,1.0,5,512,small,0.9315986800088739,PRUNED
94,94,2765.6775572,2024-12-10 23:28:53.338626,2024-12-10 23:38:14.448004,0 days 00:09:21.109378,tanh,16,0.3,0.00017182124670595984,0.98,0.99,8.170508912845396e-05,2.0,20,256,tiny,0.826807936319546,COMPLETE
95,95,1690.2193338000002,2024-12-10 23:32:07.096623,2024-12-10 23:38:54.135016,0 days 00:06:47.038393,relu,32,0.2,3.5258730016236168e-06,0.95,0.999,0.0003091752963398502,0.7,20,1024,medium,0.5076765859513602,PRUNED
96,96,519.6141046,2024-12-10 23:38:14.452454,2024-12-10 23:47:08.689547,0 days 00:08:54.237093,tanh,16,0.3,5.783145182404454e-07,0.98,0.98,3.1444805016695136e-05,0.6,20,128,tiny,0.3183551740659274,PRUNED
97,97,481.50022060000003,2024-12-10 23:38:54.135812,2024-12-10 23:49:16.783045,0 days 00:10:22.647233,tanh,16,0.3,0.0022394649266425266,0.98,0.99,0.0005401924126963181,0.8,20,256,small,0.8169527105481347,PRUNED
98,98,2162.0113582000004,2024-12-10 23:47:08.693098,2024-12-10 23:52:39.217768,0 days 00:05:30.524670,tanh,128,0.3,9.591919033728586e-08,0.99,0.995,8.93487746360794e-05,2.0,20,512,medium,0.8258847614055776,COMPLETE
99,99,773.7519218,2024-12-10 23:49:16.787378,2024-12-10 23:53:24.659059,0 days 00:04:07.871681,tanh,32,0.3,1.9295184586525907e-07,0.99,0.995,2.706312443724242e-05,2.0,1,512,medium,0.7575609071703009,PRUNED
